"ID","isActive","gameID","state","shortDescription","dateCreated","dateModified","createdBy","modifiedBy"
"88","1","233","TX","Pick 4 Early","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"89","1","239","WA","Hit 5","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"90","1","240","WA","Match 4","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"91","1","242","WV","Cash 25","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"92","1","244","WV","Daily 4","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"93","1","246","WI","Super Cash","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"94","1","251","WI","Badger 5","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"95","1","1","AR","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"96","1","1","AZ","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"97","1","1","CA","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"98","1","1","CO","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"99","1","1","CT","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"100","1","1","DC","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
"101","1","1","DE","PowerBall","2024-04-14 11:39:23.843000000","2024-04-14 11:39:23.843000000","Lenovo02\pages","Lenovo02\pages"
