106,1,Pick 3 Evening (IL),NULL,NULL,3,0,9,9,NULL,NULL,NULL,NULL,1209,NULL,NULL,NULL,NULL
107,1,Pick 4 Mid-Day (IL),NULL,NULL,4,0,9,9,NULL,NULL,NULL,NULL,1210,NULL,NULL,NULL,NULL
108,1,Pick 4 Evening (IL),NULL,NULL,4,0,9,9,NULL,NULL,NULL,NULL,1211,NULL,NULL,NULL,NULL
109,1,Lucky Day Lotto Evening (IL),NULL,NULL,5,1,45,NULL,NULL,100000,NULL,1.00,1213,NULL,NULL,NULL,NULL
110,1,Hoosier Lotto (IN),NULL,NULL,6,1,46,NULL,NULL,1000000,NULL,2.00,1214,NULL,NULL,NULL,NULL
111,1,Hoosier Lotto Plus (IN),NULL,NULL,6,1,46,NULL,NULL,0,NULL,NULL,1215,NULL,NULL,NULL,NULL
112,1,Pick 3 Mid-Day (IN),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1216,NULL,NULL,NULL,NULL
113,1,Pick 3 Evening (IN),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1217,NULL,NULL,NULL,NULL
114,1,Pick 4 Mid-Day (IN),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1218,NULL,NULL,NULL,NULL
115,1,Pick 4 Evening (IN),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1219,NULL,NULL,NULL,NULL
116,1,Cash 5 (IN),NULL,NULL,5,1,41,NULL,NULL,50000,NULL,1.00,1223,NULL,NULL,NULL,NULL
117,1,Lucky 7 (IN),NULL,NULL,7,1,NULL,NULL,NULL,NULL,NULL,NULL,1224,NULL,NULL,NULL,NULL
118,1,Pick 3 Mid-Day (IA),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1225,NULL,NULL,NULL,NULL
119,1,Pick 3 Evening (IA),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1226,NULL,NULL,NULL,NULL
120,1,Pick 4 Mid-Day (IA),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1227,NULL,NULL,NULL,NULL
121,1,Pick 4 Evening (IA),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1228,NULL,NULL,NULL,NULL
122,1,Lotto Million 1 (IL),NULL,NULL,6,1,50,NULL,NULL,NULL,1000000,NULL,1229,NULL,NULL,NULL,NULL
123,1,Lotto Million 2 (IL),NULL,NULL,6,1,50,NULL,NULL,NULL,1000000,NULL,1230,NULL,NULL,NULL,NULL
124,1,Lotto Plus (CO),NULL,NULL,6,1,40,NULL,NULL,NULL,250000,1.00,1231,NULL,NULL,NULL,NULL
125,1,Cash Ball (KY),NULL,NULL,4,1,35,25,NULL,NULL,225000,NULL,1233,NULL,NULL,NULL,NULL
126,1,5 Card Cash (KY),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100000,NULL,1234,NULL,NULL,NULL,NULL
127,1,Pick 3 Mid-Day (KY),NULL,NULL,3,0,9,NULL,NULL,NULL,600,NULL,1235,NULL,NULL,NULL,NULL
128,1,Pick 3 Evening (KY),NULL,NULL,3,0,9,NULL,NULL,NULL,600,NULL,1236,NULL,NULL,NULL,NULL
129,1,Pick 4 Mid-Day (KY),NULL,NULL,4,0,9,NULL,NULL,NULL,5000,NULL,1237,NULL,NULL,NULL,NULL
130,1,Pick 4 Evening (KY),NULL,NULL,4,0,9,NULL,NULL,NULL,5000,NULL,1238,NULL,NULL,NULL,NULL
131,1,Lotto (LA),NULL,NULL,6,1,42,NULL,NULL,500000,NULL,NULL,1240,NULL,NULL,NULL,NULL
132,1,Easy 5 (LA),NULL,NULL,5,1,37,NULL,NULL,50000,NULL,1.00,1241,NULL,NULL,NULL,NULL
133,1,Pick 5 (LA),NULL,NULL,5,0,9,NULL,NULL,NULL,NULL,NULL,1242,NULL,NULL,NULL,NULL
134,1,Pick 4 (LA),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1243,NULL,NULL,NULL,NULL
135,1,Pick 3 (LA),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1244,NULL,NULL,NULL,NULL
136,1,Megabucks (MA),NULL,NULL,6,1,49,9,NULL,NULL,NULL,NULL,1251,NULL,NULL,NULL,NULL
137,1,Cash (MA),NULL,NULL,5,1,35,NULL,NULL,NULL,100000,NULL,1252,NULL,NULL,NULL,NULL
138,1,Numbers Mid-Day (MA),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1253,NULL,NULL,NULL,NULL
139,1,Numbers Evening (MA),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1254,NULL,NULL,NULL,NULL
140,1,Cash 3 (MS),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1255,NULL,NULL,NULL,NULL
141,1,Cash 4 (MS),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1256,NULL,NULL,NULL,NULL
142,1,Cash 5 (MS),NULL,NULL,5,1,35,NULL,NULL,50000,NULL,2.00,1257,NULL,NULL,NULL,NULL
143,1,Daily 3 (MN),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1258,NULL,NULL,NULL,NULL
144,1,Northstar Cash (MN),NULL,NULL,5,1,31,NULL,NULL,25000,NULL,1.00,1260,NULL,NULL,NULL,NULL
145,1,Gopher 5 (MN),NULL,NULL,5,1,47,NULL,NULL,100000,NULL,1.00,1261,NULL,NULL,NULL,NULL
146,1,Lotto (MO),NULL,NULL,6,1,44,NULL,NULL,1000000,NULL,NULL,1263,NULL,NULL,NULL,NULL
147,1,Pick 3 Mid-Day (MO),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1264,NULL,NULL,NULL,NULL
148,1,Pick 3 Evening (MO),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1265,NULL,NULL,NULL,NULL
149,1,Pick 4 Mid-Day (MO),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1266,NULL,NULL,NULL,NULL
150,1,Pick 4 Evening (MO),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1267,NULL,NULL,NULL,NULL
151,1,Show Me Cash (MO),NULL,NULL,5,1,39,NULL,NULL,50000,NULL,NULL,1270,NULL,NULL,NULL,NULL
152,1,Pick 5 (NE),NULL,NULL,5,1,38,NULL,NULL,50000,NULL,1.00,1271,NULL,NULL,NULL,NULL
153,1,Pick 3 (NE),NULL,NULL,3,0,9,NULL,NULL,NULL,600,NULL,1272,NULL,NULL,NULL,NULL
154,1,MyDay (NE),NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1274,NULL,NULL,NULL,NULL
155,1,Pick 6 (NJ),NULL,NULL,6,1,49,-1,NULL,2000000,NULL,1.00,1282,NULL,NULL,NULL,NULL
156,1,Cash 5 (NJ),NULL,NULL,5,1,45,NULL,5,100000,NULL,1.00,1283,NULL,NULL,NULL,NULL
157,1,Pick 4 Mid-Day (NJ),NULL,NULL,4,0,9,9,NULL,NULL,NULL,NULL,1284,NULL,NULL,NULL,NULL
158,1,Pick 4 Evening (NJ),NULL,NULL,4,0,9,9,NULL,NULL,NULL,NULL,1285,NULL,NULL,NULL,NULL
159,1,Pick 3 Mid-Day (NJ),NULL,NULL,3,0,9,9,NULL,NULL,NULL,NULL,1286,NULL,NULL,NULL,NULL
160,1,Pick 3 Evening (NJ),NULL,NULL,3,0,9,9,NULL,NULL,NULL,NULL,1287,NULL,NULL,NULL,NULL
161,1,Pick 3 Mid-Day (NM),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1288,NULL,NULL,NULL,NULL
162,1,Pick 3 Evening (NM),NULL,NULL,3,0,9,NULL,NULL,NULL,NULL,NULL,1289,NULL,NULL,NULL,NULL
163,1,Pick 4 Mid-Day (NM),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1290,NULL,NULL,NULL,NULL
164,1,Pick 4 Evening (NM),NULL,NULL,4,0,9,NULL,NULL,NULL,NULL,NULL,1291,NULL,NULL,NULL,NULL
165,1,Roadrunner Cash (NM),NULL,NULL,5,1,37,NULL,NULL,25000,NULL,1.00,1292,NULL,NULL,NULL,NULL
